table,scale,method,R1,R5,AP,latency_ms_q,avgK,traffic_KB_q
main_100k,100000,FP32,90.07,93.60,90.93,6.444,,
main_100k,100000,FP16,90.07,93.60,90.93,2.942,,
main_100k,100000,SQ8,90.07,93.60,90.94,2.076,,
main_100k,100000,PQ-IP,73.68,79.16,75.09,0.228,,
main_100k,100000,PQ-L2,83.76,87.53,84.72,0.250,,
main_100k,100000,OPQ-PQ,86.37,90.50,87.36,0.277,,
main_100k,100000,HNSW-Flat,90.07,93.60,90.93,0.896,,
main_100k,100000,IVF-SQ8,81.02,83.23,81.57,0.110,,
main_100k,100000,IVFPQ-F,76.41,81.43,77.62,0.043,,
main_100k,100000,IVFPQ-S,80.66,87.64,82.33,0.129,,
main_100k,100000,IVFPQFastScan-B,76.70,85.01,78.64,0.041,,
main_100k,100000,IVFPQFastScan-Q,77.40,86.80,79.58,0.151,,
main_100k,100000,IVFPQR-F,78.27,82.59,79.32,0.121,,
main_100k,100000,IVFPQR-S,83.57,89.80,85.06,0.218,,
main_100k,100000,PQ-L2+FP32,89.94,93.38,90.77,0.546,200,614.40
main_100k,100000,ScaNN-SOAR-B,89.52,92.93,90.35,0.046,200,614.40
main_100k,100000,ScaNN-SOAR-Q,90.06,93.59,90.92,0.095,200,614.40
main_100k,100000,IVF-RaBitQ-B,89.50,92.99,90.36,0.137,,2565.93
main_100k,100000,IVF-RaBitQ-Q,90.07,93.60,90.93,0.194,,2713.28
main_100k,100000,RaFSE,89.20,92.92,90.10,0.362,76.0,9.73
main_1m,1000000,IVFPQR-S,83.55,,84.81,1.825,,
main_1m,1000000,PQ-L2,83.69,,84.39,2.960,,
main_1m,1000000,Residual-K200,86.53,,87.16,3.454,200,25.60
main_1m,1000000,RaFSE,86.50,,87.11,3.178,76.0,9.73
